Vote,,,,,,,,
Submission Details,,,,,,,,
Serial,SID,IP Address,Articulates a vision,Motivates others,Makes effective decisions,Willingness to confront tough issues,Impacts history,Node
72308,72515,37.154.173.202,5,5,5,5,5,node/88
72309,72516,78.187.80.226,5,5,5,5,5,node/85
72310,72517,78.163.73.36,5,5,5,5,5,node/88
72311,72518,37.154.173.202,5,5,5,5,5,node/88
72312,72519,46.197.70.146,5,5,5,5,5,node/88
72313,72520,176.219.169.230,5,5,5,5,5,node/88
72314,72521,78.189.20.85,5,5,5,5,5,node/88
72315,72522,82.151.153.118,5,5,3.5,5,5,node/86
72316,72523,90.158.47.130,5,5,5,5,5,node/88
72317,72524,37.154.173.202,5,5,5,5,5,node/85
72318,72525,82.151.153.118,5,5,4,5,5,node/88
72319,72526,95.0.17.59,5,5,5,5,5,node/88
72320,72527,88.240.11.59,5,5,5,5,5,node/88
72321,72528,212.252.167.162,5,5,5,5,5,node/88
72322,72529,81.214.74.219,5,5,5,5,5,node/88
72323,72530,95.0.17.59,5,5,5,5,5,node/88
72324,72531,193.255.135.254,5,5,5,5,5,node/88
72325,72532,195.85.255.34,5,5,5,5,5,node/88
72326,72533,81.214.74.219,5,5,5,5,5,node/88
72327,72534,82.222.51.130,5,5,5,5,5,node/88
72328,72535,212.156.62.54,5,5,5,5,5,node/88
72329,72536,94.55.37.212,5,5,5,5,5,node/88
72330,72537,212.156.138.90,5,5,5,5,5,node/88
72331,72538,212.156.62.54,5,5,5,5,5,node/88
72332,72539,78.189.20.85,5,5,5,5,5,node/38
72333,72540,78.189.20.85,5,5,5,5,5,node/29
72334,72541,78.178.120.19,5,5,5,5,5,node/88
72335,72542,78.180.194.249,5,5,5,5,5,node/88
72336,72543,88.227.13.20,5,5,5,5,5,node/88
72337,72544,88.255.123.50,5,5,5,5,5,node/88
72338,72545,78.178.120.19,5,5,5,5,5,node/88
72339,72546,95.0.17.59,4.5,5,4.5,4.5,5,node/105
72340,72547,88.236.64.66,5,5,5,5,5,node/88
72341,72548,85.101.36.13,5,5,5,5,5,node/88
72342,72549,88.236.64.66,5,5,5,5,5,node/88
72343,72550,88.248.95.203,5,5,5,5,3,node/103
72344,72551,78.174.219.88,5,5,5,5,5,node/88
72345,72552,195.46.137.11,5,5,5,5,4,node/88
72346,72553,88.231.121.150,5,5,5,5,5,node/88
72347,72554,78.174.219.88,5,5,5,5,5,node/88
72348,72555,212.156.138.90,5,5,5,5,5,node/85
72349,72556,212.98.215.230,5,5,5,5,5,node/88
72350,72557,94.123.233.18,5,5,5,5,5,node/88
72351,72558,85.105.51.77,5,5,5,5,5,node/88
72352,72559,94.123.233.18,5,5,5,5,5,node/88
72353,72560,94.123.233.18,5,5,5,5,5,node/88
72354,72561,176.216.59.3,5,5,5,5,5,node/88
72355,72562,94.123.233.18,5,5,5,5,5,node/88
72356,72563,88.248.95.203,5,5,5,5,5,node/60
72357,72564,85.105.115.174,5,5,5,5,5,node/88
72358,72565,24.150.50.207,5,5,5,5,5,node/88
72359,72566,78.167.12.156,5,4.5,5,5,5,node/88
72360,72567,81.214.223.231,5,5,5,5,5,node/88
72361,72568,212.175.32.134,5,5,5,5,5,node/88
72362,72569,176.41.78.152,5,5,5,5,5,node/88
72363,72570,176.240.199.3,5,5,5,5,5,node/88
72364,72571,81.215.107.18,5,5,5,5,5,node/88
72365,72572,176.88.133.166,5,5,5,5,5,node/88
72366,72573,46.234.11.5,5,5,5,5,5,node/88
72367,72574,176.41.5.13,5,5,5,5,5,node/88
72368,72575,176.41.78.152,5,5,5,5,5,node/88
72369,72576,176.240.199.3,5,5,5,5,5,node/38
72370,72577,94.121.162.230,5,5,5,5,5,node/88
72371,72578,78.189.184.43,5,5,5,4.5,5,node/88
72372,72579,94.100.61.3,5,5,5,5,5,node/88
72373,72580,78.181.135.213,5,5,5,5,5,node/88
72374,72581,85.105.192.118,5,5,5,5,5,node/88
72375,72582,85.97.200.88,5,5,5,5,5,node/88
72376,72583,176.240.199.3,5,5,5,5,5,node/85
72377,72584,94.100.61.3,5,5,5,5,5,node/88
72378,72585,176.43.112.209,5,5,5,5,5,node/88
72379,72586,24.150.50.207,4.5,4.5,4.5,4.5,4.5,node/38
72380,72587,46.196.184.138,5,5,5,5,5,node/88
72381,72588,50.254.138.22,5,5,5,5,5,node/88
72382,72589,213.194.116.66,5,5,5,5,5,node/88
72383,72590,78.179.72.149,5,5,5,5,5,node/88
72384,72591,88.255.123.50,5,5,5,5,5,node/88
72385,72592,78.189.230.69,5,5,5,5,5,node/88
72386,72593,88.250.40.148,5,5,5,5,5,node/88
72387,72594,212.175.206.210,1,1,1,1,1,node/88
72388,72595,95.0.243.195,5,5,5,5,5,node/88
72389,72596,88.238.68.49,5,5,5,5,5,node/88
72390,72597,88.224.194.28,5,5,5,5,5,node/88
72391,72598,212.58.22.126,5,5,5,5,5,node/88
72392,72599,78.175.223.211,5,5,5,5,5,node/88
72393,72600,176.43.55.38,5,5,5,5,5,node/88
72394,72601,78.175.223.211,5,5,5,5,5,node/88
72395,72602,213.74.151.130,5,5,5,5,5,node/88
72396,72603,188.57.179.227,5,5,4.5,5,4.5,node/88
72397,72604,176.43.55.38,5,5,5,5,5,node/88
72398,72605,194.27.138.2,5,5,5,5,5,node/88
72399,72606,212.58.22.126,5,5,5,5,5,node/88
72400,72607,91.93.53.140,5,5,5,5,5,node/88
72401,72608,94.123.34.3,5,5,5,5,5,node/88
72402,72609,85.108.143.162,5,5,5,5,5,node/88
72403,72610,178.240.201.231,5,5,5,5,5,node/88
72404,72611,87.173.139.46,5,5,5,5,5,node/85
72405,72612,78.188.120.14,4.5,5,4.5,5,4.5,node/88
72406,72613,95.15.75.58,5,5,5,5,5,node/88
72407,72614,82.222.230.251,5,5,5,5,5,node/88
72408,72615,195.85.255.252,5,5,5,5,5,node/88
72409,72616,78.188.120.14,5,5,5,5,5,node/88
72410,72617,195.85.255.252,5,5,5,5,5,node/88
72411,72618,88.249.61.61,5,5,5,5,5,node/88
72412,72619,5.47.10.160,5,5,5,5,5,node/88
72413,72620,46.20.98.54,5,5,5,5,5,node/88
72414,72621,176.40.235.182,5,5,5,5,5,node/88
72415,72622,88.249.61.61,5,5,5,5,5,node/88
72416,72623,85.108.143.162,5,5,5,5,5,node/88
72417,72624,78.186.26.116,5,5,5,5,5,node/88
72418,72625,178.240.200.2,5,5,5,4.5,5,node/88
72419,72626,88.255.40.18,5,5,5,5,5,node/88
72420,72627,5.47.10.160,5,5,5,5,5,node/88
72421,72628,85.105.137.230,5,5,5,5,5,node/88
72422,72629,78.186.26.116,5,5,5,5,5,node/85
72423,72630,88.231.30.89,5,5,5,5,5,node/88
72424,72631,109.240.19.63,5,5,5,5,5,node/88
72425,72632,88.231.30.89,5,5,5,5,5,node/88
72426,72633,93.89.67.233,5,5,5,5,5,node/88
72427,72634,195.174.36.11,5,5,5,5,5,node/88
72428,72635,78.181.101.227,5,5,5,5,5,node/88
72429,72636,88.248.56.130,5,5,5,5,5,node/88
72430,72637,185.13.106.94,5,5,5,5,5,node/85
72431,72638,88.231.30.89,5,5,5,5,5,node/88
72432,72639,24.133.188.154,5,5,5,5,5,node/88
72433,72640,85.100.206.31,5,5,5,5,5,node/88
72434,72641,195.174.36.11,5,5,5,5,5,node/88
72435,72642,88.247.149.232,5,5,5,5,5,node/88
72436,72643,24.133.188.154,5,5,5,5,5,node/88
72437,72644,78.186.26.116,5,5,5,5,5,node/85
72438,72645,95.8.139.103,5,5,5,5,5,node/88
72439,72646,85.100.206.31,5,5,5,5,5,node/88
72440,72647,78.189.103.10,5,5,5,5,5,node/88
72441,72648,5.47.103.102,5,5,5,5,5,node/88
72442,72649,85.104.203.208,5,5,5,5,5,node/88
72443,72650,213.248.132.165,5,5,5,5,5,node/88
72444,72651,78.173.33.121,5,5,5,5,5,node/88
72445,72652,85.104.203.208,5,5,5,5,5,node/88
72446,72653,95.7.173.249,5,5,5,5,5,node/88
72447,72654,176.219.144.134,5,5,5,5,5,node/88
72448,72655,176.219.144.134,5,5,5,5,5,node/88
72449,72656,178.240.201.120,5,5,5,5,5,node/88
72450,72657,91.93.203.46,5,5,5,5,5,node/88
72451,72658,92.45.209.250,5,5,5,5,5,node/88
72452,72659,84.73.70.79,5,5,5,5,5,node/88
72453,72660,92.45.209.250,5,5,5,5,5,node/88
72454,72661,92.45.209.250,5,5,5,5,5,node/85
72455,72662,144.122.48.248,5,5,5,5,5,node/88
72456,72663,78.178.199.138,5,5,5,5,5,node/88
72457,72664,81.214.76.141,5,5,5,5,5,node/88
72458,72665,85.105.130.148,5,5,4.5,5,5,node/88
72459,72666,84.73.70.79,5,5,5,5,5,node/88
72460,72667,213.194.109.110,5,5,5,5,5,node/88
72461,72668,85.105.130.148,5,5,5,5,5,node/88
72462,72669,85.105.130.148,5,5,5,5,5,node/88
72463,72670,37.154.185.232,5,5,4,5,5,node/88
72464,72671,213.194.109.110,5,5,5,5,5,node/88
72465,72672,85.105.130.148,5,5,5,5,5,node/88
72466,72673,85.105.130.148,5,5,5,5,5,node/88
72467,72674,5.47.167.14,5,5,5,5,5,node/88
72468,72675,5.47.167.14,5,5,5,5,5,node/88
72469,72676,212.174.102.68,1,1,1,1,1,node/88
72470,72677,85.97.47.16,5,5,5,5,5,node/88
72471,72678,5.47.167.14,5,5,5,5,5,node/88
72472,72679,212.174.102.68,5,5,5,5,5,node/88
72473,72680,212.174.102.68,5,5,5,5,5,node/88
72474,72681,212.252.136.253,5,5,5,5,5,node/88
72475,72682,176.41.76.14,5,5,5,5,5,node/88
72476,72683,88.230.57.118,5,5,5,5,5,node/88
72477,72684,88.230.57.118,5,5,5,5,5,node/88
72478,72685,5.25.227.44,2,5,3,3,5,node/27
72479,72686,88.245.195.6,5,5,5,5,5,node/88
72480,72687,188.58.3.84,5,5,5,5,5,node/88
72481,72688,188.58.3.84,5,5,5,5,5,node/88
72482,72689,79.123.174.160,5,5,5,5,5,node/88
72483,72690,62.244.244.101,5,5,5,5,5,node/88
72484,72691,95.65.227.221,5,5,5,5,5,node/88
72485,72692,84.44.21.146,5,5,5,5,5,node/88
72486,72693,176.237.192.103,5,5,5,5,5,node/88
72487,72694,46.196.97.201,5,5,5,5,5,node/88
72488,72695,5.25.227.44,5,5,5,5,5,node/88
72489,72696,78.189.59.92,5,5,5,5,5,node/88
72490,72697,85.101.201.42,5,5,5,5,5,node/88
72491,72698,85.104.205.101,5,5,5,5,5,node/88
72492,72699,176.237.192.103,5,5,5,5,5,node/88
72493,72700,88.228.54.65,5,5,5,5,5,node/88
72494,72701,88.250.216.26,5,5,5,5,5,node/88
72495,72702,50.184.20.226,5,5,5,5,5,node/88
72496,72703,88.250.216.26,5,5,5,5,5,node/88
72497,72704,88.228.54.65,5,5,5,5,5,node/88
72498,72705,176.237.192.103,5,5,5,5,5,node/88
72499,72706,88.238.138.88,5,5,5,5,5,node/88
72500,72707,88.255.40.18,5,5,5,5,5,node/88
72501,72708,88.250.216.26,5,5,5,5,5,node/88
72502,72709,88.238.138.88,5,5,5,5,5,node/88
72503,72710,95.15.200.128,5,5,5,5,5,node/88
72504,72711,88.250.216.26,5,5,5,5,5,node/88
72505,72712,212.15.29.70,5,5,5,5,5,node/88
72506,72713,78.180.120.68,5,5,5,5,5,node/88
72507,72714,88.255.40.18,5,5,5,5,5,node/88
72508,72715,212.156.153.54,5,5,5,5,5,node/88
72509,72716,62.244.248.74,5,5,5,5,5,node/88
72510,72717,193.140.186.140,5,5,5,5,5,node/88
72511,72718,212.156.123.226,5,5,5,5,5,node/88
72512,72719,212.156.123.226,5,5,5,5,5,node/88
72513,72720,212.252.167.141,5,5,5,5,5,node/88
72514,72721,188.57.205.210,5,5,5,5,5,node/88
72515,72722,213.194.109.110,5,5,5,5,5,node/88
72516,72723,88.235.185.20,5,5,5,5,5,node/88
72517,72724,88.245.10.6,5,5,5,5,5,node/88
72518,72725,85.105.138.85,5,5,5,5,5,node/88
72519,72726,88.252.210.253,1,1,1,1,1,node/88
72520,72727,85.105.129.50,5,5,5,5,5,node/88
72521,72728,212.252.167.109,5,5,5,5,5,node/88
72522,72729,88.241.221.207,5,3,4.5,4,2.5,node/88
72523,72730,212.252.168.236,5,5,5,5,5,node/88
72524,72731,82.222.164.227,5,5,5,5,5,node/88
72525,72732,78.185.134.68,5,5,5,5,5,node/88
72526,72733,88.255.40.18,5,5,5,5,5,node/88
72527,72734,78.171.241.189,5,5,5,5,5,node/88
72528,72735,213.141.165.18,5,5,5,5,5,node/88
72529,72736,78.179.126.38,5,5,5,5,5,node/88
72530,72737,195.49.217.241,5,5,5,5,5,node/88
72531,72738,95.0.243.130,5,5,5,5,5,node/88
72532,72739,88.247.107.217,5,5,5,5,4.5,node/88
72533,72740,193.140.28.132,5,5,5,5,5,node/88
72534,72741,88.247.107.217,4.5,5,5,5,5,node/88
72535,72742,62.29.26.34,5,5,5,5,5,node/88
72536,72743,46.197.99.199,5,5,5,5,5,node/88
72537,72744,24.133.161.116,5,5,5,5,5,node/88
72538,72745,94.122.152.28,5,5,5,5,5,node/88
72539,72746,88.225.26.254,5,5,5,5,5,node/85
72540,72747,62.29.26.34,5,5,5,5,5,node/88
72541,72748,212.156.123.226,5,5,5,5,5,node/88
72542,72749,5.25.194.2,5,4.5,5,5,5,node/88
72543,72750,178.233.20.205,5,5,5,5,5,node/88
72544,72751,178.240.24.87,5,5,5,5,5,node/88
72545,72752,66.249.81.216,4.5,5,5,5,5,node/88
72546,72753,86.28.81.142,5,5,5,5,5,node/88
72547,72754,178.233.13.188,5,5,5,5,5,node/88
72548,72755,66.249.81.222,5,5,5,5,5,node/88
72549,72756,176.240.119.123,5,5,5,5,5,node/88
72550,72757,85.105.21.89,5,5,5,5,5,node/88
72551,72758,5.25.194.2,5,5,5,5,5,node/85
72552,72759,86.28.81.142,5,5,5,5,5,node/88
72553,72760,66.249.81.219,5,5,5,5,5,node/88
72554,72761,151.250.1.192,5,5,5,5,5,node/88
72555,72762,176.240.119.123,5,5,5,5,5,node/88
72556,72763,212.253.206.164,5,5,5,5,5,node/88
72557,72764,78.186.147.107,5,5,5,5,5,node/88
72558,72765,212.253.206.164,5,5,5,5,5,node/88
72559,72766,78.160.196.127,1,1,1,1,1,node/88
72560,72767,178.245.252.130,5,5,5,5,5,node/88
72561,72768,176.42.38.193,5,5,5,5,5,node/88
72562,72769,176.42.186.190,5,5,5,5,5,node/88
72563,72770,78.184.128.244,5,5,5,5,5,node/88
72564,72771,95.0.144.194,5,5,5,5,5,node/88
72565,72772,176.42.186.190,5,5,5,5,5,node/88
72566,72773,46.197.86.253,5,5,5,5,5,node/88
72567,72774,176.42.186.190,5,5,5,5,5,node/88
72568,72775,78.167.93.79,5,5,5,5,5,node/88
72569,72776,85.105.106.142,5,5,5,5,5,node/88
72570,72777,78.160.196.127,5,5,5,5,5,node/88
72571,72778,195.85.255.34,5,5,5,5,5,node/88
72572,72779,94.123.203.255,5,5,5,5,5,node/88
72573,72780,195.85.255.34,5,5,5,5,5,node/88
72574,72781,88.230.172.184,5,5,5,5,5,node/88
72575,72782,88.253.8.184,5,5,5,5,5,node/88
72576,72783,88.253.8.184,5,5,5,5,5,node/88
72577,72784,212.252.168.236,5,5,5,5,5,node/88
72578,72785,212.252.168.236,5,5,5,5,5,node/88
72579,72786,212.252.168.236,5,5,5,5,5,node/88
72580,72787,5.47.118.50,5,5,5,5,5,node/88
72581,72788,85.96.65.100,5,5,5,5,5,node/88
72582,72789,212.252.168.236,5,5,5,5,5,node/88
72583,72790,5.47.118.50,5,5,5,5,5,node/88
72584,72791,212.252.168.236,4.5,5,5,5,5,node/88
72585,72792,212.252.168.236,5,5,5,5,5,node/88
72586,72793,46.197.211.172,1,1,1,1,1,node/88
72587,72794,92.45.171.150,5,5,5,5,5,node/88
72588,72795,213.74.235.204,5,5,5,5,5,node/88
72589,72796,95.70.169.160,5,5,5,4.5,5,node/88
72590,72797,141.196.65.171,5,5,5,5,5,node/88
72591,72798,95.14.113.87,5,5,5,5,5,node/88
72592,72799,78.168.106.129,5,5,5,5,5,node/88
72593,72800,212.252.168.236,5,5,5,5,5,node/88
72594,72801,95.14.113.87,5,5,5,5,5,node/88
72595,72802,85.97.183.229,5,5,5,5,5,node/88
72596,72803,95.14.113.87,5,5,5,5,5,node/88
72597,72804,78.174.20.188,5,5,5,5,5,node/88
72598,72805,78.189.148.149,5,5,5,5,5,node/85
72599,72806,195.87.98.234,5,5,5,5,5,node/88
72600,72807,95.10.135.171,4.5,4.5,5,4.5,4.5,node/88
72601,72808,141.196.65.171,5,5,5,5,5,node/88
72602,72809,88.255.123.50,5,5,5,5,5,node/88
72603,72810,176.219.162.36,5,5,5,5,5,node/88
72604,72811,213.194.124.130,5,5,5,5,5,node/88
72605,72812,46.197.211.172,5,5,5,5,5,node/88
72606,72813,176.43.145.25,5,5,5,5,5,node/88
72607,72814,212.98.215.230,5,5,5,5,5,node/88
72608,72815,84.153.247.200,5,5,5,5,5,node/88
72609,72816,178.245.182.13,5,5,5,5,5,node/88
72610,72817,176.43.145.25,5,5,5,5,5,node/88
72611,72818,80.251.32.210,5,5,5,5,5,node/88
72612,72819,46.197.211.172,5,5,5,5,5,node/88
72613,72820,31.145.69.130,5,5,5,5,5,node/88
72614,72821,213.194.109.110,5,5,5,5,5,node/88
72615,72822,80.251.32.210,5,5,5,5,5,node/88
72616,72823,212.156.126.34,5,5,5,5,5,node/88
72617,72824,47.67.41.241,5,3.5,4,3.5,5,node/88
72618,72825,212.253.113.14,5,5,5,5,5,node/88
72619,72826,212.253.113.14,5,5,5,5,5,node/88
72620,72827,86.147.225.28,5,5,5,5,5,node/88
72621,72828,213.74.88.99,5,5,5,5,5,node/88
72622,72829,99.244.6.232,5,4.5,4.5,5,5,node/88
72623,72830,88.247.81.87,5,5,5,5,5,node/88
72624,72831,46.126.35.111,5,5,5,5,5,node/88
72625,72832,78.180.193.11,5,5,5,5,5,node/88
72626,72833,212.252.168.236,5,5,5,5,5,node/88
72627,72834,212.252.168.236,5,5,5,5,5,node/88
72628,72835,78.189.148.149,4.5,4.5,4.5,4,4,node/88
72629,72836,176.219.149.145,5,5,5,5,5,node/88
72630,72837,94.123.205.231,5,5,5,5,5,node/88
72631,72838,212.58.14.29,5,5,5,5,5,node/88
72632,72839,94.123.205.231,5,5,5,5,5,node/88
72633,72840,78.181.46.59,5,5,5,5,5,node/88
72634,72841,188.57.137.108,5,5,5,5,5,node/88
72635,72842,194.27.33.66,5,5,5,5,5,node/88
72636,72843,88.247.81.87,5,5,5,5,5,node/38
72637,72844,82.222.227.38,5,5,5,5,5,node/88
72638,72845,194.27.33.66,5,5,5,5,5,node/88
72639,72846,82.222.227.38,5,5,5,5,5,node/88
72640,72847,78.189.208.209,5,5,5,5,5,node/88
72641,72848,46.2.9.118,5,5,5,5,5,node/88
72642,72849,78.188.50.34,5,5,5,5,5,node/88
72643,72850,213.194.109.110,5,5,5,5,5,node/88
72644,72851,213.194.109.110,5,5,5,5,5,node/88
72645,72852,213.194.109.110,5,5,5,5,5,node/88
72646,72853,213.194.109.110,5,5,5,5,5,node/88
72647,72854,213.194.109.110,5,5,5,5,5,node/88
72648,72855,78.188.50.34,5,5,5,5,5,node/88
72649,72856,77.251.178.94,5,5,5,5,5,node/88
72650,72857,5.47.22.220,1,1,1,1,1,node/88
72651,72858,213.194.109.110,4.5,5,5,5,5,node/46
72652,72859,85.108.23.44,5,5,5,5,5,node/88
72653,72860,193.140.28.145,5,5,5,5,4.5,node/88
72654,72861,46.114.160.77,5,5,5,5,5,node/88
72655,72862,88.243.224.209,5,5,5,5,5,node/88
72656,72863,78.176.166.132,5,5,5,5,5,node/88
72657,72864,193.140.28.145,5,5,5,5,5,node/88
72658,72865,88.248.53.82,5,5,5,5,5,node/88
72659,72866,92.44.42.9,5,5,5,5,5,node/88
72660,72867,37.154.61.83,5,5,5,5,5,node/88
72661,72868,212.98.215.230,5,5,5,5,5,node/88
72662,72869,88.248.53.82,5,5,5,5,5,node/88
72663,72870,88.248.53.82,5,5,5,5,5,node/88
72664,72871,37.154.61.83,5,5,5,5,5,node/88
72665,72872,78.187.109.127,5,5,5,5,5,node/88
72666,72873,88.248.53.82,5,5,5,5,5,node/88
72667,72874,94.123.206.236,5,5,5,5,5,node/88
72668,72875,212.115.14.14,5,5,5,5,5,node/88
72669,72876,94.123.206.236,5,5,5,5,5,node/88
72670,72877,82.222.85.19,5,4.5,5,5,5,node/88
72671,72878,78.187.195.70,5,5,5,5,5,node/88
72672,72879,37.154.141.95,5,5,5,5,5,node/88
72673,72880,176.239.30.77,5,5,4.5,5,5,node/88
72674,72881,176.240.102.2,5,5,5,5,5,node/88
72675,72882,85.158.97.5,5,5,5,5,5,node/88
72676,72883,85.107.117.13,5,5,5,5,5,node/88
72677,72884,37.154.141.95,5,4.5,5,4.5,4.5,node/88
72678,72885,212.156.41.146,5,5,5,5,5,node/88
72679,72886,88.247.81.87,1,1,1,1,1,node/88
72680,72887,78.188.10.230,5,5,5,5,5,node/88
72681,72888,92.44.130.61,5,5,5,5,5,node/88
72682,72889,213.144.113.194,1,1,1,1,1,node/88
72683,72890,24.133.80.63,5,5,5,5,5,node/88
72684,72891,212.156.133.182,1,1,1,1,1,node/88
72685,72892,83.66.68.237,5,5,5,5,5,node/88
72686,72893,178.243.139.144,5,5,5,5,5,node/88
72687,72894,83.66.68.237,5,5,5,5,5,node/88
72688,72895,144.122.114.250,5,5,5,5,5,node/88
72689,72896,78.101.174.111,5,5,5,5,5,node/88
72690,72897,85.103.7.167,5,5,5,5,5,node/88
72691,72898,77.71.187.47,5,5,5,5,5,node/88
72692,72899,95.14.114.191,5,5,5,5,5,node/88
72693,72900,213.144.113.194,5,5,5,5,5,node/88
72694,72901,5.47.102.31,5,5,5,5,5,node/88
72695,72902,213.144.113.194,5,5,5,5,5,node/88
72696,72903,78.187.87.109,5,5,5,5,5,node/88
72697,72904,212.252.168.236,5,5,5,5,5,node/88
72698,72905,78.188.203.103,5,5,5,5,5,node/88
72699,72906,85.108.208.51,5,5,5,5,5,node/88
72700,72907,213.144.113.194,5,5,5,5,5,node/88
72701,72908,5.46.132.164,5,5,5,5,5,node/88
72702,72909,85.108.208.51,5,5,5,5,5,node/88
72703,72910,88.247.81.87,5,5,5,5,5,node/88
72704,72911,207.244.77.19,5,5,4.5,5,5,node/71
72705,72912,24.133.236.95,5,5,5,5,5,node/88
72706,72913,88.254.248.6,5,5,5,5,5,node/88
72707,72914,212.156.133.182,5,5,5,5,5,node/88
72708,72915,5.46.132.164,5,5,5,5,5,node/85
72709,72916,78.179.139.164,5,5,5,5,5,node/88
72710,72917,24.133.236.95,5,5,5,5,5,node/88
72711,72918,213.144.113.194,5,5,5,5,5,node/88
72712,72919,78.177.192.115,5,5,5,5,5,node/88
72713,72920,213.144.113.194,5,5,5,5,5,node/88
72714,72921,212.252.76.143,5,5,5,5,5,node/88
72715,72922,88.247.81.87,5,5,5,5,5,node/88
72716,72923,212.174.131.15,5,5,5,5,5,node/88
72717,72924,46.196.232.96,5,5,5,5,5,node/88
72718,72925,212.252.166.38,5,5,5,5,5,node/88
72719,72926,212.252.166.38,5,5,5,5,5,node/88
72720,72927,212.174.131.15,5,5,5,5,5,node/88
72721,72928,78.189.205.15,5,5,5,5,5,node/88
72722,72929,78.176.111.90,5,5,5,5,5,node/88
72723,72930,92.45.214.44,5,5,5,5,5,node/88
72724,72931,5.46.50.33,5,5,5,5,5,node/88
72725,72932,176.219.146.101,5,5,5,5,5,node/88
72726,72933,78.191.1.179,5,5,5,5,5,node/88
72727,72934,213.144.113.194,5,5,5,5,5,node/88
72728,72935,88.247.81.87,5,5,5,5,5,node/105
72729,72936,212.156.77.2,5,5,5,5,5,node/88
72730,72937,88.251.87.7,5,5,5,5,5,node/88
72731,72938,213.144.113.194,5,5,5,5,5,node/88
72732,72939,94.55.156.138,5,5,5,5,5,node/88
72733,72940,213.144.113.194,5,5,5,5,5,node/88
72734,72941,78.176.111.90,5,5,5,5,5,node/88
72735,72942,213.144.113.194,5,5,5,5,5,node/88
72736,72943,85.96.65.100,5,5,5,5,5,node/88
72737,72944,81.213.157.221,5,5,5,5,5,node/88
72738,72945,188.3.33.137,5,5,5,5,5,node/88
72739,72946,78.179.139.164,5,5,5,5,5,node/88
72740,72947,212.253.113.167,5,5,5,5,5,node/88
72741,72948,85.100.231.129,5,5,5,5,5,node/88
72742,72949,94.78.123.233,5,5,5,5,5,node/88
72743,72950,188.57.247.175,5,5,5,5,5,node/88
72744,72951,178.240.135.11,5,5,5,5,5,node/88
72745,72952,78.179.139.164,5,5,5,5,5,node/88
72746,72953,88.241.96.25,5,5,5,5,5,node/88
72747,72954,178.240.135.11,5,5,5,5,5,node/88
72748,72955,5.47.193.190,5,5,5,5,5,node/88
72749,72956,212.174.102.68,5,5,5,5,5,node/88
72750,72957,88.255.172.39,5,5,5,5,5,node/88
72751,72958,46.1.2.55,5,5,5,5,5,node/88
72752,72959,213.61.186.101,5,5,5,5,5,node/88
72753,72960,88.229.101.73,5,5,5,5,5,node/88
72754,72961,213.61.186.101,5,5,5,5,5,node/88
72755,72962,81.213.140.201,5,5,5,5,5,node/88
72756,72963,95.7.239.50,5,5,5,5,5,node/88
72757,72964,178.27.192.24,5,5,5,5,5,node/88
72758,72965,78.188.169.102,5,5,5,5,5,node/88
72759,72966,195.87.244.8,5,5,5,5,5,node/88
72760,72967,88.254.248.6,5,5,5,5,5,node/88
72761,72968,212.174.102.68,5,5,5,5,5,node/88
72762,72969,95.5.97.30,5,5,5,5,5,node/88
72763,72970,193.140.136.32,5,5,5,5,5,node/88
72764,72971,46.1.2.55,5,5,5,5,5,node/88
72765,72972,193.140.136.32,5,5,5,5,5,node/88
72766,72973,88.247.81.87,5,5,5,5,5,node/88
72767,72974,178.240.219.235,5,5,5,5,5,node/88
72768,72975,178.240.219.235,5,5,5,5,5,node/88
72769,72976,212.115.22.2,5,5,5,5,5,node/88
72770,72977,120.151.180.60,5,5,5,5,5,node/88
72771,72978,217.131.75.95,5,5,5,5,5,node/88
72772,72979,88.235.239.152,2,2,2,2,1.5,node/88
72773,72980,85.101.9.1,5,5,5,5,5,node/88
72774,72981,92.45.144.245,5,5,5,5,5,node/88
72775,72982,176.88.146.164,5,5,5,5,5,node/88
72776,72983,212.115.22.2,5,5,5,5,5,node/88
72777,72984,217.131.75.95,5,5,5,5,5,node/88
72778,72985,195.174.238.239,5,5,5,5,5,node/88
72779,72986,212.253.113.14,5,5,5,5,5,node/88
72780,72987,66.249.81.219,5,5,5,5,5,node/88
72781,72988,66.249.81.219,5,5,5,5,4.5,node/88
72782,72989,78.180.242.113,5,5,5,5,5,node/88
72783,72990,81.213.157.221,5,5,5,5,5,node/88
72784,72991,88.224.22.152,5,5,5,5,5,node/88
72785,72992,85.101.9.1,5,5,5,5,5,node/88
72786,72993,92.45.194.228,5,5,5,5,5,node/88
72787,72994,81.213.157.221,5,5,5,5,5,node/88
72788,72995,85.105.31.188,5,5,5,5,5,node/88
72789,72996,94.120.166.171,5,5,5,5,5,node/85
72790,72997,195.142.253.62,5,5,5,5,5,node/88
72791,72998,81.213.157.221,5,5,5,5,5,node/88
72792,72999,93.186.122.209,5,5,5,5,5,node/88
72793,73000,92.45.194.228,5,5,5,5,5,node/88
72794,73001,5.46.130.60,5,5,5,5,5,node/88
72795,73002,195.142.92.123,5,5,5,5,5,node/88
72796,73003,5.46.130.60,5,5,5,5,5,node/88
72797,73004,85.99.110.233,5,5,5,5,5,node/88
72798,73005,85.108.138.115,5,5,5,5,5,node/88
72799,73006,88.255.40.18,5,5,5,5,5,node/85
72800,73007,78.171.103.216,5,5,5,5,5,node/88
